ContactID Source,ContactID Match,Match Accuracy
456,956,Medium
457,957,High
458,958,Medium
459,959,High
460,960,Medium
461,961,Medium
462,962,High
463,963,High
464,964,Medium
465,965,Medium
466,966,High
467,967,Medium
468,968,Medium
469,969,High
470,970,Medium
471,971,Medium
472,972,High
473,973,High
474,974,Medium
475,975,High
476,976,High
477,977,High
478,978,Medium
479,979,High
480,980,Medium
481,981,Medium
482,982,High
483,983,High
484,984,Medium
485,985,High
486,986,Medium
487,987,High
488,988,Medium
489,989,High
490,990,Medium
491,991,Medium
492,992,High
493,993,Medium
494,994,Medium
495,995,Medium
496,996,High
497,997,Medium
498,998,Medium
499,999,Medium
500,1000,Medium
536,828,Low
539,897,Low
591,845,Low
655,862,Low
660,873,Low
700,762,Medium
701,901,Medium
702,752,Medium
702,872,Medium
704,842,Medium
704,948,Medium
707,759,Medium
708,745,Medium
709,792,Medium
710,719,Medium
711,853,Medium
714,748,Medium
714,822,Medium
714,828,Medium
715,915,Medium
717,782,Medium
718,820,Medium
722,843,Medium
723,734,Medium
723,791,Low
723,796,Medium
724,923,Medium
724,940,Medium
725,918,Medium
726,858,Medium
726,949,Medium
728,911,Medium
729,891,Medium
729,921,Medium
731,750,Medium
732,939,Medium
734,796,Medium
736,801,Medium
736,855,Medium
736,875,Medium
742,767,Medium
742,850,Medium
742,930,Medium
744,811,Medium
744,818,Medium
746,804,Medium
746,919,Medium
747,823,Medium
747,824,Medium
747,914,Medium
748,822,Medium
748,828,Medium
749,840,Medium
749,910,Medium
752,872,Medium
755,830,Medium
756,780,Medium
763,774,Medium
764,802,Medium
764,815,Medium
766,904,Medium
767,850,Medium
767,930,Medium
768,825,Medium
771,783,Medium
772,878,Medium
772,884,Medium
773,845,Medium
778,791,Medium
781,862,Medium
785,831,Medium
785,841,Medium
786,903,Medium
788,907,Medium
789,931,Medium
794,882,Medium
795,887,Medium
801,855,Medium
801,875,Medium
802,815,Medium
803,943,Medium
804,919,Medium
807,917,Medium
809,883,Medium
811,818,Medium
813,868,Medium
813,926,Medium
819,933,Medium
822,828,Medium
823,824,Medium
823,914,Medium
824,914,Medium
831,841,Medium
832,876,Medium
840,910,Medium
842,948,Medium
848,873,Medium
850,930,Medium
851,936,Medium
855,875,Medium
858,949,Medium
860,916,Medium
861,944,Medium
868,926,Medium
869,886,Medium
870,877,Medium
870,880,Medium
877,880,Medium
878,884,Medium
891,921,Medium
896,899,Medium
896,929,Medium
899,929,Medium
900,901,Low
900,902,Low
900,903,Low
900,904,Low
900,905,Low
900,906,Low
900,907,Low
900,908,Low
900,909,Low
900,910,Low
900,911,Low
900,912,Low
900,913,Low
900,914,Low
900,915,Low
900,916,Low
900,917,Low
900,918,Low
900,919,Low
900,920,Low
900,921,Low
900,922,Low
900,923,Low
900,924,Low
900,925,Medium
900,926,Low
900,927,Low
900,928,Low
900,929,Low
900,930,Low
900,931,Low
900,932,Low
900,933,Low
900,934,Low
900,935,Low
900,936,Low
900,937,Low
900,938,Low
900,939,Low
900,940,Low
900,941,Low
900,942,Low
900,943,Low
900,944,Low
900,945,Low
900,946,Low
900,947,Low
900,948,Low
900,949,Low
901,902,Low
901,903,Low
901,904,Low
901,905,Low
901,906,Low
901,907,Low
901,908,Low
901,909,Low
901,910,Low
901,911,Low
901,912,Low
901,913,Low
901,914,Low
901,915,Low
901,916,Low
901,917,Low
901,918,Low
901,919,Low
901,920,Low
901,921,Low
901,922,Low
901,923,Low
901,924,Low
901,925,Low
901,926,Low
901,927,Low
901,928,Low
901,929,Low
901,930,Low
901,931,Low
901,932,Low
901,933,Low
901,934,Low
901,935,Low
901,936,Low
901,937,Low
901,938,Low
901,939,Low
901,940,Low
901,941,Low
901,942,Low
901,943,Low
901,944,Low
901,945,Low
901,946,Low
901,947,Low
901,948,Low
901,949,Low
902,903,Low
902,904,Low
902,905,Low
902,906,Low
902,907,Low
902,908,Low
902,909,Low
902,910,Low
902,911,Low
902,912,Low
902,913,Low
902,914,Low
902,915,Low
902,916,Low
902,917,Low
902,918,Low
